,Unnamed: 0,ID,FULL TEXT,CREATED AT
0,0,1320230336488407040,  තම්බි තොප්පිය ගැන අපි ඉගෙන ගත්තේ ඉස්කෝලේ යන කාලේ හැම මැතිවරණයකට පසුව තොප්පිය හැරැනු හැට් දැක දැක,2020-10-25 05:06:55
1,1,1320024674856800258, තැම්ස් තම්බි,2020-10-24 15:29:42
2,2,1319896932269977603,"ඉස්සර බයිසන් ලා

අම්මෝ රට සින්න වෙනෝ
අනේ ඇමරිකාවෙන් අපිව අල්ලන් යනෝ
අම්මෝ මෙන්න තම්බි රට අල්ලනො
සන්තානේ කොටි නැගිටිනවෝ

දැන් බයිසන්ලා

කොස් මැල්ලුමක් සාදාගන්නේ කෙසේද
කසුන් කල්හාරගේ අලුත් සිංදුව ලස්සනයි
ඔයාලා අලි පේර කනවද
අපේ වත්තේ වැවුන පතෝල මෙන්න",2020-10-24 07:02:05
3,3,1319501969141108738,"හකීම් අන්තවාදී මිනිහගේ පක්ෂේ අනිත් තම්බි ටික එහෙම නෑ ඒ නිසා තමයි ඒ අය ආණ්ඩුවට පක්ෂ වුණේ

මේවා හකීම් එක්ක එකතුවෙලා ගහපු  කියලා උඹල තේරුම්ගන්න කැමති නෑ නේ  



23 තනි සිංහල ආණ්ඩුවයි තම්බි හතරයි ",2020-10-23 04:52:39
4,4,1319361736865034240,"තම්බි කියලා ජාතියක් නෑ පුතා 
තම්බි කියන්නෙ හෙලවෙන මනසට ",2020-10-22 19:35:25
5,5,1319315509381267458,තනි සිංහල ආණ්ඩුව බේරගත්තෙ තම්බි ☝,2020-10-22 16:31:43
6,6,1319309709476675585," සිනිගමයන්නඑක වියදමක්
පොල් වලට තව වියදමක්
තෙවයාඩා තම්බි ඉද ඔනක්ක",2020-10-22 16:08:40
7,7,1319301177192796160,"23 තනි සිංහල ආන්ඩුව විපක්ෂයේ තම්බි හතර පස් දෙනා නැත්නම් කොරයි ලබ්බක් නේද 

",2020-10-22 15:34:46
8,0,1321451668584632321, සමාගම විසින්   10 5 සහ  100 ජංගම දුරකතන එළිදැක්වීමට කටයුතු කරයි    ,2020-10-28 14:00:03
9,1,1321440893207891969,බියගම නිදහස් වෙළෙඳ කලාපයෙන් පුද්ගලයන් 06 දෙනෙකුට කෝවිඩ්     ,2020-10-28 13:17:14
10,2,1321438936212725766,"“නිරෝධායන ඇඳිරි නීතිය ක්‍රියාත්මකව වුවද  උසස් පෙළ විභාගයට පෙනී සිටින දරුවන්ට විභාගයට බාධාවක් නැහැ ’’
 විභාග කොමසාරිස් ජනරාල් බීසනත් පූජිත මහතා
        19     ",2020-10-28 13:09:28
11,3,1321390729214636032,දැනට පොලිසියේ 17 කට ‍කොරෝනා  ආශ්‍රිතයින් වූ 400ක් කඳවුරුවල     ,2020-10-28 09:57:54
12,4,1321366250891530240,"හෙට29 මාධ්‍යම රාත්‍රියේ සිට නොවැම්බර් 02 උදෑසන 5 දක්වා බස්නාහිර පළාතට නිරෝධායන ඇඳිරිනීතිය පැනවේ
                  98",2020-10-28 08:20:38
13,5,1321333109741203457,කිසිම අයෙක් මේ වගේ තර්ජනාත්මක ප්‍රකාශ කරල ලංකාවට ආවෙ නෑ 7       ,2020-10-28 06:08:57
14,6,1321304860772487169,"මෙහෙමයි  ලා කියන්නේ   ඇතුළුව  9 කට රිලීස් කරන්න තියෙන නිසා වගේම  නිසා ඇති වෙන භාධා හමුවේ මෙහෙම කල් ගිහිල්ලා කියලයි කොහොම උනත් ගෙම් එක තියෙන්නේ   එක යටතේ දැන් ඉදහන්කෝ දෙසැම්බර් 10 වෙනකන් 
     0",2020-10-28 04:16:42
